id,lat,lng,name,Dist_moved,area_delineator,lat_snapped,lng_snapped,dist_m
6401070,64.70916666666666,-21.600833333333327,Nordhura River at Stekkur,4,500.8,64.70916666666666,-21.600833333333327,0.0
6401080,64.69333333333333,-21.410833333333333,Hvita River at Kljafoss,1,1718.7,64.69333333333333,-21.410833333333333,0.0
6401090,63.939166666666665,-21.006666666666668,Olfusa River at Selfoss,1,5754.8,63.939166666666665,-21.006666666666668,0.0
6401111,64.16,-20.559166666666673,Bruara River at Dynjandi,0,704.1,64.16,-20.559166666666673,0.0
6401120,63.93416666666667,-20.628333333333327,Thjorsa River at Krokur,5,7276.1,63.93416666666667,-20.628333333333327,0.0
6401140,63.7975,-20.1125,Eystri-Ranga River at Tungufoss,0,510.1,63.7975,-20.1125,0.0
6401150,63.86333333333333,-20.34,Ytri-Ranga River at Arbaejarfoss,1,563.1,63.86333333333333,-20.34,0.0
6401160,64.7525,-14.485833333333332,Fossa River at Eyjolfsstadir,0,106.5,64.7525,-14.485833333333332,0.0
6401200,65.33,-19.085,Vestri-Jokulsa River at Godhdala Bru,0,872.0,65.33,-19.085,0.0
6401250,65.30166666666666,-20.106666666666666,Vatnsdalsa River at Forsaeludalur,0,465.8,65.30166666666666,-20.106666666666666,0.0
6401300,66.07166666666667,-21.751666666666665,Hvala River at Op,2,207.4,66.07166666666667,-21.751666666666665,0.0
6401310,65.58916666666667,-23.1275,Vatnsdalsa River at Eidhi,0,99.2,65.58916666666667,-23.1275,0.0
6401400,65.85166666666666,-17.8975,Fnjoska River at Arbugsa,1,1127.0,65.85166666666666,-17.8975,0.0
6401460,66.19833333333334,-15.595833333333331,Sanda River at Flogubru I,1,267.1,66.19833333333334,-15.595833333333331,0.0
6401500,63.950833333333335,-17.6375,Djupa River at Djupa Bru,2,642.1,63.950833333333335,-17.6375,0.0
6401601,65.495,-19.383333333333333,Svarta River at Reykjafoss,1,389.1,65.495,-19.383333333333333,0.0
6401610,65.37,-17.3475,Skjalfandafljot River at Aldeyjarfoss,1,1925.3,65.37,-17.3475,0.0
6401702,65.62333333333333,-16.189166666666665,Jokulsa River at Grimsstadir,0,5378.0,65.62333333333333,-16.189166666666665,0.0
6401703,65.06083333333333,-16.211666666666666,Jokulsa River at  Upptyppingar,0,1771.1,65.06083333333333,-16.211666666666666,0.0
6401800,65.5025,-14.361666666666666,Lagarfljot River at Lagarfoss,0,2830.4,65.5025,-14.361666666666666,0.0
